ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
422,28.0,39,7.0,1.9,1.9,-5.7,0.023,0.076,0.177,0.504,0.153,1,3,233
422,29.0,39,5.4,2.0,1.2,3.3,0.009,0.096,0.132,0.546,0.091,2,3,233
422,30.0,6,2.8,2.0,1.2,-1.9,0.0289999999999999,0.1,0.1,0.425,0.1,3,3,233
138,28.0,69,14.5,4.3,2.1,0.9,0.0279999999999999,0.102,0.179,0.606,0.1,1,3,81
138,29.0,69,14.1,3.6,1.9,6.9,0.021,0.09,0.157,0.6629999999999999,0.081,2,3,81
138,30.0,14,11.3,4.0,1.0,1.1,0.012,0.109,0.146,0.624,0.047,3,3,81
252,24.0,62,18.5,12.4,5.0,3.1,0.089,0.262,0.2289999999999999,0.586,0.215,1,3,141
252,25.0,62,20.3,12.0,6.7,-1.9,0.066,0.259,0.239,0.601,0.283,2,3,141
252,26.0,62,18.9,12.1,5.2,-0.6,0.092,0.264,0.221,0.637,0.239,3,3,141
46,21.0,61,8.9,1.6,1.0,-1.4,0.017,0.052,0.15,0.5870000000000001,0.064,1,3,25
46,22.0,58,15.3,2.6,1.4,-1.8,0.0139999999999999,0.069,0.204,0.534,0.067,2,3,25
46,23.0,70,18.3,2.7,2.0,3.3,0.01,0.07,0.212,0.546,0.085,3,3,25
318,25.0,43,5.8,3.5,1.9,-11.8,0.034,0.123,0.1369999999999999,0.5,0.13,1,3,177
318,26.0,51,5.7,2.9,2.1,0.4,0.033,0.1119999999999999,0.142,0.57,0.157,2,3,177
318,27.0,56,5.1,2.9,1.2,-0.6,0.042,0.106,0.111,0.601,0.087,3,3,177
241,25.0,54,21.8,5.1,3.7,-5.1,0.033,0.11,0.2689999999999999,0.536,0.18,1,3,135
241,26.0,71,18.6,4.9,2.4,-0.2,0.034,0.106,0.2289999999999999,0.568,0.11,2,3,135
241,27.0,73,17.2,4.5,2.2,5.8,0.036,0.095,0.2239999999999999,0.56,0.109,3,3,135
506,22.0,19,1.9,1.4,0.4,11.6,0.063,0.109,0.145,0.4579999999999999,0.074,1,3,278
506,23.0,21,10.9,5.5,0.9,6.0,0.054,0.149,0.149,0.638,0.042,2,3,278
506,24.0,67,9.1,5.3,1.1,-6.0,0.065,0.165,0.166,0.53,0.064,3,3,278
257,25.0,63,18.2,3.4,7.5,-4.5,0.018,0.078,0.243,0.537,0.345,1,3,143
257,26.0,55,14.8,2.7,5.4,2.1,0.013,0.075,0.211,0.552,0.272,2,3,143
257,27.0,76,11.9,2.3,4.2,0.3,0.017,0.064,0.191,0.514,0.21,3,3,143
63,23.0,72,8.3,7.5,1.1,8.9,0.14,0.24,0.163,0.6509999999999999,0.091,1,3,37
63,24.0,72,9.0,7.2,1.3,5.0,0.121,0.2,0.147,0.693,0.079,2,3,37
